start	end	seg_len
1126073529	1126075224	1695
1126075226	1126080539	5313
1126080541	1126083520	2979
1126083522	1126086553	3031
1126088511	1126089771	1260
1126089773	1126098729	8956
1126100142	1126111138	10996
1126164689	1126165915	1226
1126256829	1126264691	7862
1126301250	1126301382	132
1126301717	1126301897	180
1126301957	1126302050	93
1126302274	1126302437	163
1126302497	1126302557	60
1126302617	1126304365	1748
1126304777	1126304897	120
1126305077	1126305197	120
1126305377	1126305437	60
1126305557	1126305617	60
1126306937	1126307057	120
1126308670	1126309577	907
1126309637	1126309817	180
1126309877	1126310882	1005
1126310884	1126322994	12110
1126322996	1126327397	4401
1126327457	1126328957	1500
1126329017	1126330637	1620
1126330697	1126331060	363
1126401691	1126401917	226
1126401977	1126409763	7786
1126409930	1126410042	112
1126415204	1126420217	5013
1126420277	1126420940	663
1126423623	1126425848	2225
1126552683	1126552974	291
1126553154	1126553627	473
1126553801	1126555046	1245
1126555297	1126575197	19900
1126575257	1126586775	11518
1126586778	1126603333	16555
1126626157	1126628100	1943
1126643534	1126645392	1858
1126645951	1126657697	11746
1126657757	1126657817	60
1126657937	1126659317	1380
1126659377	1126663850	4473
1126663852	1126663871	19
1126663873	1126675574	11701
1126686694	1126691334	4640
1126787524	1126788031	507
1126791209	1126796396	5187
1126796398	1126807637	11239
1126807697	1126808537	840
1126808597	1126808777	180
1126808837	1126810637	1800
1126810817	1126813757	2940
1126813817	1126813877	60
1126814057	1126814177	120
1126814297	1126814357	60
1126814717	1126816037	1320
1126816097	1126816517	420
1126816577	1126818437	1860
1126818497	1126818557	60
1126818677	1126818737	60
1126818917	1126819517	600
1126819577	1126820117	540
1126820477	1126820597	120
1126820657	1126821917	1260
1126829493	1126830137	644
1126830197	1126830857	660
1126830917	1126831277	360
1126831757	1126832426	669
1126832717	1126833017	300
1126833077	1126833137	60
1126833377	1126833497	120
1126837277	1126838177	900
1126838237	1126841610	3373
1126841612	1126848327	6715
1126848329	1126849861	1532
1126868944	1126871897	2953
1126872077	1126872677	600
1126872737	1126873457	720
1126873517	1126873577	60
1126884724	1126885097	373
1126885217	1126885877	660
1126885937	1126886117	180
1126886177	1126886477	300
1126886537	1126886597	60
1126886777	1126886897	120
1126887137	1126887677	540
1126887977	1126888037	60
1126888397	1126888457	60
1126888517	1126888577	60
1126888637	1126893057	4420
1126908923	1126909037	114
1126910657	1126914257	3600
1126915037	1126915097	60
1126915157	1126915782	625
1126918131	1126918980	849
1126918982	1126927457	8475
1126927577	1126928357	780
1126928477	1126932377	3900
1126932497	1126937597	5100
1126937657	1126942368	4711
1126955146	1126963846	8700
1126987925	1126991568	3643
1126994684	1126999495	4811
1127000240	1127000990	750
1127000992	1127000993	1
1127000995	1127001013	18
1127001016	1127001019	3
1127001023	1127001027	4
1127001172	1127004055	2883
1127004057	1127010300	6243
1127010302	1127019011	8709
1127019013	1127047251	28238
1127047253	1127072295	25042
1127072545	1127074207	1662
1127088104	1127089697	1593
1127089757	1127090357	600
1127090477	1127090537	60
1127090657	1127091917	1260
1127092037	1127092215	178
1127094716	1127095447	731
1127095797	1127096837	1040
1127096897	1127100077	3180
1127100197	1127105477	5280
1127105537	1127108297	2760
1127108357	1127109797	1440
1127109857	1127111417	1560
1127119063	1127119517	454
1127119577	1127120537	960
1127120597	1127120670	73
1127120931	1127121289	358
1127121291	1127123897	2606
1127124017	1127124197	180
1127124497	1127126633	2136
1127126884	1127128336	1452
1127128872	1127129881	1009
1127129883	1127133359	3476
1127166399	1127166797	398
1127166857	1127167277	420
1127167337	1127169917	2580
1127169977	1127172026	2049
1127175352	1127175377	25
1127175437	1127179646	4209
1127179648	1127180171	523
1127180520	1127184737	4217
1127184797	1127189897	5100
1127189957	1127213184	23227
1127213186	1127216343	3157
1127216345	1127224040	7695
1127234560	1127245757	11197
1127245937	1127245997	60
1127246237	1127246297	60
1127246357	1127246537	180
1127246657	1127246897	240
1127247017	1127247077	60
1127247137	1127247377	240
1127247797	1127247857	60
1127247917	1127248037	120
1127248097	1127248817	720
1127248877	1127249177	300
1127249297	1127249477	180
1127249597	1127249657	60
1127249777	1127252057	2280
1127252117	1127256633	4516
1127258769	1127265437	6668
1127265497	1127271521	6024
1127308159	1127308397	238
1127308817	1127308877	60
1127309057	1127309117	60
1127309357	1127309477	120
1127309597	1127309717	120
1127309777	1127310497	720
1127326812	1127326997	185
1127327057	1127327315	258
1127327317	1127327357	40
1127327537	1127328497	960
1127328557	1127328977	420
1127329397	1127329457	60
1127329577	1127329701	124
1127329989	1127330117	128
1127330177	1127331295	1118
1127332459	1127332890	431
1127334068	1127334857	789
1127334917	1127335037	120
1127335157	1127335397	240
1127335457	1127339019	3562
1127339021	1127339417	396
1127339537	1127340017	480
1127340197	1127340317	120
1127340437	1127340497	60
1127340737	1127340797	60
1127340977	1127341157	180
1127341397	1127341457	60
1127341517	1127341817	300
1127341937	1127342537	600
1127343197	1127343317	120
1127343377	1127344498	1121
1127344500	1127347097	2597
1127347157	1127347217	60
1127347277	1127347637	360
1127348057	1127348083	26
1127348085	1127348117	32
1127348177	1127348537	360
1127348597	1127348897	300
1127348957	1127349257	300
1127349377	1127350217	840
1127350277	1127350337	60
1127350397	1127352257	1860
1127352317	1127352437	120
1127352497	1127352677	180
1127352737	1127352848	111
1127353384	1127353457	73
1127353577	1127353757	180
1127353817	1127354057	240
1127354117	1127354177	60
1127354297	1127354357	60
1127354477	1127355798	1321
1127355800	1127356637	837
1127356697	1127356757	60
1127356817	1127356917	100
1127356919	1127357237	318
1127357297	1127357357	60
1127357477	1127357537	60
1127357717	1127357777	60
1127358317	1127358377	60
1127358497	1127358557	60
1127358737	1127358797	60
1127359037	1127359097	60
1127359217	1127359277	60
1127359397	1127359457	60
1127359517	1127359577	60
1127359697	1127360057	360
1127360117	1127364257	4140
1127364557	1127364677	120
1127364737	1127367377	2640
1127367437	1127367737	300
1127368457	1127368517	60
1127368577	1127368877	300
1127368937	1127369117	180
1127369177	1127369237	60
1127369357	1127378209	8852
1127385080	1127386037	957
1127386097	1127387357	1260
1127387417	1127387600	183
1127388136	1127391599	3463
1127391601	1127398817	7216
1127399057	1127409171	10114
1127421917	1127421977	60
1127422397	1127422457	60
1127422517	1127422577	60
1127422637	1127423117	480
1127425104	1127425277	173
1127425337	1127425534	197
1127425536	1127427137	1601
1127427197	1127427748	551
1127427750	1127428157	407
1127428217	1127428457	240
1127428517	1127435297	6780
1127435357	1127435600	243
1127436136	1127436377	241
1127436617	1127436677	60
1127436737	1127436797	60
1127442977	1127443037	60
1127443157	1127443217	60
1127443277	1127443877	600
1127444177	1127444717	540
1127444837	1127444897	60
1127447357	1127447417	60
1127447537	1127447597	60
1127447957	1127448257	300
1127448497	1127448917	420
1127448977	1127449037	60
1127449397	1127449457	60
1127449517	1127449697	180
1127449877	1127449937	60
1127450237	1127450417	180
1127450537	1127451317	780
1127451557	1127451737	180
1127451857	1127451917	60
1127452097	1127452217	120
1127452397	1127452457	60
1127452757	1127452817	60
1127452937	1127452997	60
1127453057	1127453237	180
1127453417	1127453477	60
1127453537	1127453597	60
1127453657	1127454197	540
1127454857	1127454917	60
1127455217	1127455277	60
1127455337	1127455637	300
1127455937	1127456117	180
1127456177	1127458637	2460
1127458697	1127458997	300
1127459057	1127459117	60
1127459297	1127459477	180
1127459597	1127460551	954
1127464807	1127464895	88
1127467057	1127467097	40
1127467157	1127470037	2880
1127470097	1127470757	660
1127470937	1127471177	240
1127471357	1127471597	240
1127471657	1127471717	60
1127471777	1127472791	1014
1127472793	1127473037	244
1127474988	1127476277	1289
1127476337	1127477237	900
1127477297	1127479877	2580
1127479937	1127480177	240
1127480357	1127480537	180
1127480597	1127480657	60
1127481571	1127483226	1655
1127497037	1127497073	36
1127497443	1127497637	194
1127497757	1127497817	60
1127497877	1127499077	1200
1127505580	1127506095	515
1127507785	1127508129	344
1127508131	1127508496	365
1127512184	1127516902	4718
1127516904	1127538415	21511
