start	end	seg_len
1165845934	1165846074	140
1165846076	1165846761	685
1165846763	1165846820	57
1165846822	1165846958	136
1165846960	1165847334	374
1165847336	1165847423	87
1165847425	1165847648	223
1165847650	1165847868	218
1165847870	1165847939	69
1165847941	1165848083	142
1165848085	1165848154	69
1165848156	1165848268	112
1165848271	1165848340	69
1165848342	1165848346	4
1165848350	1165848360	10
1165848362	1165848372	10
1165848374	1165848489	115
1165848491	1165848559	68
1165848561	1165848698	137
1165848700	1165848774	74
1165848776	1165848950	174
1165848952	1165849075	123
1165849077	1165849314	237
1165849316	1165849462	146
1165849464	1165849596	132
1165849598	1165849622	24
1165849624	1165849817	193
1165849819	1165849948	129
1165849950	1165849969	19
1165849971	1165850023	52
1165850025	1165850084	59
1165850086	1165850172	86
1165850174	1165850433	259
1165850435	1165850446	11
1165850449	1165850485	36
1165850487	1165850594	107
1165850596	1165850726	130
1165850728	1165850813	85
1165850815	1165851291	476
1165851293	1165851297	4
1165851300	1165851364	64
1165851367	1165851480	113
1165851482	1165851782	300
1165851784	1165851809	25
1165851811	1165851848	37
1165851850	1165851857	7
1165851861	1165851872	11
1165851874	1165852082	208
1165852084	1165852088	4
1165852090	1165852289	199
1165852291	1165852332	41
1165852334	1165852715	381
1165853120	1165853149	29
1165853151	1165853180	29
1165853182	1165853214	32
1165853216	1165853223	7
1165853225	1165853408	183
1165853410	1165853416	6
1165853418	1165853429	11
1165853431	1165853478	47
1165853480	1165853505	25
1165853507	1165853511	4
1165853513	1165853570	57
1165853572	1165853591	19
1165853593	1165853638	45
1165853640	1165853660	20
1165853662	1165853669	7
1165853671	1165853761	90
1165853763	1165854095	332
1165854097	1165854200	103
1165854202	1165854272	70
1165854274	1165854379	105
1165854381	1165854508	127
1165854510	1165854582	72
1165854584	1165854594	10
1165854596	1165854623	27
1165854625	1165854996	371
1165854998	1165855022	24
1165855024	1165855086	62
1165855088	1165855111	23
1165855113	1165855274	161
1165855276	1165855353	77
1165855355	1165855614	259
1165866335	1165868533	2198
1165868536	1165871783	3247
1165871785	1165872042	257
1165872044	1165873298	1254
1165873300	1165877762	4462
1165877764	1165878638	874
1165878640	1165878743	103
1165878745	1165879416	671
1165889252	1165889296	44
1165889302	1165889313	11
1165889324	1165889374	50
1165889432	1165889447	15
1165889451	1165889455	4
1165889584	1165889586	2
1165892400	1165901541	9141
1165901910	1165923570	21660
1165929966	1165930210	244
1165930321	1165932770	2449
1165942403	1165949510	7107
1165957190	1165967631	10441
1165973512	1165981018	7506
1165986540	1165987876	1336
1165989597	1165990324	727
1165990478	1165990560	82
1165992232	1165992884	652
1165994151	1165994759	608
1165996952	1165997696	744
1165999735	1165999757	22
1165999759	1166000140	381
1166000143	1166000168	25
1166000170	1166000631	461
1166336075	1166337588	1513
1166338850	1166342769	3919
1166344947	1166345560	613
1166358432	1166359149	717
1166359151	1166360272	1121
1166360274	1166360595	321
1166362905	1166364478	1573
1166365853	1166368397	2544
1166387687	1166394978	7291
1166395041	1166395076	35
1166399103	1166402755	3652
1166405054	1166411327	6273
1166413502	1166414886	1384
1166426886	1166427032	146
1166427034	1166427297	263
1166427299	1166428015	716
1166428019	1166429068	1049
1166429070	1166429977	907
