2 2 0 1.5251e0 -1.1568e0 0.1292e0 0.7000e0 1.4187e0 -0.4990e0
2 2 1 1.3673e0 -1.0260e0 0.1628e0 0.1000e0 0.5436e0 -0.4731e0
2 2 2 1.3223e0 -1.0257e0 0.1860e0 -0.1000e0 0.4206e0 -0.4256e0

2 1 0 0.6000e0 -0.2339e0 0.4175e0 -0.3000e0 2.3561e0 -0.2277e0
2 1 1 0.5800e0 -0.2416e0 0.4708e0 -0.3300e0 0.9501e0 -0.2072e0
2 1 2 0.5660e0 -0.2740e0 0.4960e0 -0.1000e0 0.4173e0 -0.2774e0

2 0 0 0.4437e0 -0.0739e0 0.3350e0 4.0000e0 -1.9550e0 0.1420e0
2 0 1 0.4185e0 -0.0768e0 0.4355e0 1.2500e0 -0.6359e0 0.1614e0
2 0 2 0.3734e0 -0.0794e0 0.6306e0 0.5600e0 -0.2589e0 0.3034e0

2 -1 0 0.3441e0 0.0293e0 2.0010e0 2.0000e0 0.1078e0 5.0069e0
2 -1 1 0.3165e0 0.0301e0 2.3415e0 0.6100e0 0.0276e0 13.1683e0
2 -1 2 0.2696e0 0.0315e0 2.7755e0 0.2900e0 0.0276e0 6.4715e0

2 -2 0 0.2938e0 0.0782e0 1.3546e0 1.6700e0 0.4192e0 1.4700e0
2 -2 1 0.2528e0 0.0921e0 1.3344e0 0.4550e0 0.1729e0 1.3617e0
2 -2 2 0.1873e0 0.1117e0 1.3322e0 0.1850e0 0.1266e0 1.3661e0

3 3 0 1.8956e0 -1.3043e0 0.1818e0 0.9000e0 2.3430e0 -0.4810e0
3 3 1 1.8566e0 -1.2818e0 0.1934e0 0.2274e0 0.8173e0 -0.4731e0
3 3 2 1.8004e0 -1.2558e0 0.2133e0 0.0400e0 0.5445e0 -0.4539e0

3 2 0 1.1481e0 -0.5552e0 0.3002e0 0.8313e0 2.3773e0 -0.3655e0
3 2 1 1.1226e0 -0.5471e0 0.3264e0 0.2300e0 0.8025e0 -0.3684e0
3 2 2 1.0989e0 -0.5550e0 0.3569e0 0.1000e0 0.4804e0 -0.3784e0

3 1 0 0.8345e0 -0.2405e0 0.4095e0 23.8450e0 -20.7240e0 0.03837e0
3 1 1 0.8105e0 -0.2342e0 0.4660e0 8.8530e0 -7.8506e0 0.03418e0
3 1 2 0.7684e0 -0.2252e0 0.5805e0 2.1800e0 -1.6273e0 0.1136e0

3 0 0 0.6873e0 -0.09282e0 0.3479e0 6.7841e0 -3.6112e0 0.09480e0
3 0 1 0.6687e0 -0.09155e0 0.4021e0 2.0075e0 -0.9930e0 0.12297e0
3 0 2 0.6343e0 -0.08915e0 0.5117e0 0.9000e0 -0.3409e0 0.2679e0

3 -1 0 0.5751e0 0.02508e0 3.1360e0 3.0464e0 0.1162e0 -0.2812e0
3 -1 1 0.5584e0 0.02514e0 3.4154e0 1.2000e0 -0.1928e0 0.1037e0
3 -1 2 0.5271e0 0.02561e0 3.8011e0 1.0000e0 -0.4424e0 0.02467e0

3 -2 0 0.5158e0 0.08195e0 1.4084e0 2.9000e0 0.3356e0 2.3050e0
3 -2 1 0.4951e0 0.08577e0 1.4269e0 0.9000e0 0.1295e0 1.6142e0
3 -2 2 0.4567e0 0.09300e0 1.4469e0 0.4900e0 0.0848e0 1.9737e0

3 -3 0 0.4673e0 0.1296e0 1.3255e0 2.5500e0 0.6576e0 1.3378e0
3 -3 1 0.4413e0 0.1387e0 1.3178e0 0.7900e0 0.2381e0 1.3706e0
3 -3 2 0.3933e0 0.1555e0 1.3037e0 0.4070e0 0.1637e0 1.3819e0

4 4 0 2.3000e0 -1.5056e0 0.2244e0 1.1929e0 3.1191e0 -0.4825e0
4 4 1 2.3000e0 -1.5173e0 0.2271e0 0.3000e0 1.1034e0 -0.4703e0
4 4 2 2.3000e0 -1.5397e0 0.2321e0 0.1100e0 0.6997e0 -0.4607e0

4 3 0 1.6869e0 -0.8862e0 0.2822e0 1.4812e0 2.8096e0 -0.4271e0
4 3 1 1.6722e0 -0.8843e0 0.2923e0 0.4451e0 0.9569e0 -0.4250e0
4 3 2 1.6526e0 -0.8888e0 0.3081e0 0.2200e0 0.5904e0 -0.4236e0

4 2 0 1.2702e0 -0.4685e0 0.3835e0 -3.6000e0 7.7749e0 -0.1491e0
4 2 1 1.2462e0 -0.4580e0 0.4139e0 -1.5000e0 2.8601e0 -0.1392e0
4 2 2 1.2025e0 -0.4401e0 0.4769e0 -1.5000e0 2.2784e0 -0.1124e0

4 1 0 1.0507e0 -0.2478e0 0.4348e0 14.0000e0 -9.8240e0 0.09047e0
4 1 1 1.0337e0 -0.2439e0 0.4695e0 4.2000e0  -2.8399e0 0.1081e0
4 1 2 1.0019e0 -0.2374e0 0.5397e0 2.2000e0  -1.4195e0 0.1372e0

