# m1 m2 mc q a1z a2z Mf af
3.839441647817638881e+01 2.573197388252004458e+01 2.725444516062062661e+01 6.702009365644676642e-01 4.508955619590163666e-01 -9.179955641624573115e-01 6.123117282890834190e+01 6.893452187235866724e-01
3.810627401437137962e+01 2.772273815564422250e+01 2.822383976383600412e+01 7.275111217955574361e-01 4.897178214644259397e-01 -6.645324556064400312e-01 6.264155079490527811e+01 7.127173923581265891e-01
6.103033135404151466e+01 1.387251934580384649e+01 2.408357589946498223e+01 2.273053256966331148e-01 -4.027638825201197009e-02 3.861485946416561843e-01 7.341217559302693019e+01 4.337914881711397164e-01
3.652456053552644022e+01 2.400528735858174301e+01 2.566499762887426073e+01 6.572368566962621950e-01 -6.241147172896662765e-01 2.791743585151834073e-01 5.825757620806517423e+01 5.296435886196969589e-01
3.384071854390234790e+01 3.006623734539878612e+01 2.775885627097981967e+01 8.884633258124575717e-01 1.502106186080881534e-01 -2.489223710835367087e-01 6.087426240606288275e+01 6.781953253117580793e-01
5.761506225677619142e+01 1.300972268872714466e+01 2.265118970064218118e+01 2.258041938885009536e-01 -1.782853432689880668e-01 3.513084516089266529e-01 6.932676065967348222e+01 3.539992127453567838e-01
3.538147011848923995e+01 2.662733606874569503e+01 2.666683551858833212e+01 7.525785666783554317e-01 -9.619078476389391064e-01 9.297560857437399129e-01 5.940001401933587744e+01 5.648135719050118020e-01
8.966568546539151896e+01 1.119138022386248643e+01 2.512839143289666666e+01 1.248122976562985181e-01 4.129523292387908828e-01 -5.057113814331452017e-01 9.943712217902542250e+01 5.935059441592162033e-01
6.362156780513634402e+01 1.583091033596886277e+01 2.641463805804056264e+01 2.488293024223585670e-01 3.053302033979519714e-01 -8.638097644607096726e-01 7.740542418873366159e+01 6.122365913990163167e-01
6.563653515240335423e+01 1.579239047199917323e+01 2.674239944886343778e+01 2.406036582420197634e-01 3.082465787244616506e-01 -2.754484241029325764e-01 7.934853159653100363e+01 6.213696980000620318e-01
4.973778269560866505e+01 1.576073570940679680e+01 2.362171628320396977e+01 3.168765243489293781e-01 -3.281318632256180479e-01 4.923088857713426303e-01 6.390925674690211622e+01 3.942326957417613409e-01
4.400695242549421238e+01 1.862397408474645033e+01 2.447926784072463491e+01 4.232052677648535655e-01 -1.564420941022256761e-01 -3.601763708152196375e-01 6.065760392231675979e+01 5.167373205702954220e-01
6.086241391370417375e+01 1.320979247413497326e+01 2.340001008961197115e+01 2.170435187284047440e-01 8.407184285155064329e-02 -8.034767123225615704e-01 7.259672784051643646e+01 4.699808592765779003e-01
4.678222622003406883e+01 2.190591666026911710e+01 2.747951317697526363e+01 4.682529761888095665e-01 -5.358130525743631800e-02 3.201844705313597883e-01 6.609518866191386621e+01 6.106929684070344644e-01
3.049143649209381834e+01 2.650638842413047414e+01 2.473690772986160269e+01 8.693059912412904877e-01 -8.395893112519600132e-01 1.767507973784205877e-01 5.479197607820696447e+01 5.486806662741459117e-01
3.265867530236405969e+01 3.253134229188221127e+01 2.837553831339202048e+01 9.961010968968287971e-01 2.537531899395216728e-01 -3.155982777946206852e-01 6.207846641997601722e+01 6.772184341992726342e-01
4.402884371372348227e+01 2.208726357941655749e+01 2.683280417962557962e+01 5.016544091647837655e-01 -4.406796944297321494e-01 7.488805752819081007e-01 6.374294788572423442e+01 5.270615378708448651e-01
2.956951061462668662e+01 2.124535546362707805e+01 2.176039257628961110e+01 7.184885722497541538e-01 -9.306969856357520943e-01 -6.547371721062991146e-01 4.923377161548924619e+01 3.815255726286508886e-01
4.319567126020368875e+01 1.989160366504396649e+01 2.514650663588638579e+01 4.604999316996414849e-01 1.393563761638625942e-01 -8.891261264108256679e-01 6.082846477745791702e+01 6.083370954820168652e-01
4.862244768860524857e+01 2.167205094849292735e+01 2.781364011192814800e+01 4.457211016460573827e-01 1.757402996064917899e-01 -2.876640701554619706e-01 6.761120988217577121e+01 6.494009848551085540e-01
3.904486600405486030e+01 2.206752214411322299e+01 2.534922309599491896e+01 5.651837079379778972e-01 -3.413456455883437934e-01 -5.972641290635544165e-02 5.889037763566351202e+01 5.392145521907998340e-01
3.497705940492134857e+01 2.574393173642186383e+01 2.606196345686656457e+01 7.360233299886735914e-01 -6.214793722213410865e-01 2.767377021226381517e-01 5.830394197111470334e+01 5.629928024549943899e-01
4.556346853903311711e+01 1.919781967524474453e+01 2.528471807058156529e+01 4.213423668305330549e-01 5.005432823805050502e-02 -7.185010217521270448e-01 6.260138911620492763e+01 5.756057701279571059e-01
5.958072796152795547e+01 1.626680839980773996e+01 2.605293153079269430e+01 2.730213100167461771e-01 3.221915826706951702e-02 6.269600463072905194e-01 7.394454229322531091e+01 5.255477118093588862e-01
4.111605442392918519e+01 1.769695054326329142e+01 2.308082072567976084e+01 4.304146103319637096e-01 -8.548017971741178611e-01 7.147742503644693990e-01 5.723404746748875738e+01 3.114226732345826143e-01
7.181046621622047610e+01 1.418338381682382909e+01 2.617502363203226423e+01 1.975113735387516722e-01 2.055603184953437579e-01 6.572156996376083971e-01 8.427771755200059545e+01 5.458299851555810100e-01
3.534886246369079998e+01 3.072046949147820172e+01 2.867358475795913719e+01 8.690652923565296284e-01 -5.303701218690682895e-01 6.698053786883868543e-01 6.287774818468084703e+01 6.722390791322664372e-01
3.242897785688421664e+01 2.234864928575731113e+01 2.335554904219705463e+01 6.891567592536070874e-01 -4.795024468517644634e-01 -6.281630588403454007e-01 5.287005978964509012e+01 4.891933718781049656e-01
3.212736919493254817e+01 2.541285180484054607e+01 2.484064313037819005e+01 7.910031988815603432e-01 -6.485102633791933746e-01 -1.941405611880528126e-01 5.539829359145760890e+01 5.201744428670277420e-01
3.364089775643786595e+01 3.334821862767604017e+01 2.915837254012806667e+01 9.912999013617044275e-01 -6.681379881052001979e-01 7.546519013653998353e-01 6.362279741146944190e+01 6.960504627219205043e-01
7.214198194122901953e+01 1.422196328702132995e+01 2.626770189280384216e+01 1.971385163580251232e-01 3.826994510302237917e-01 -6.396434822699434974e-01 8.445515460025833931e+01 6.291109854623595510e-01
5.653873157444825637e+01 1.302765489288999490e+01 2.248264975307045077e+01 2.304200064293205341e-01 -2.587527887169148721e-01 6.870681194652811241e-01 6.829975009150514609e+01 3.224048815795513279e-01
9.091554128618183483e+01 1.163409005510259142e+01 2.584850972583716100e+01 1.279659108939479595e-01 4.028712516690833301e-01 -1.867896479827785561e-01 1.010745659529177516e+02 5.920893803047503345e-01
3.684576762917033221e+01 2.931366329763081424e+01 2.857302822652493290e+01 7.955774891882984035e-01 2.873974687724257793e-01 -3.831015222471397252e-01 6.299289469681987441e+01 6.927968260353059016e-01
8.990309520743527116e+01 1.168666003483793503e+01 2.579342712948624339e+01 1.299917428635027905e-01 4.241545645295332068e-01 -3.842382384909797666e-01 1.000765595710397946e+02 6.070260834976201059e-01
3.367327536908207719e+01 2.591540898393942882e+01 2.567280357470268370e+01 7.696135496143117205e-01 -2.872067234649571255e-01 -1.861571569861531217e-01 5.712279890937957560e+01 5.952824261958864493e-01
3.582529383395819167e+01 2.582176201942055727e+01 2.640723395708915078e+01 7.207690225542419116e-01 -4.300358045905413595e-01 2.406055096069120436e-01 5.907206353204161786e+01 5.981697841962503315e-01
6.809074218477014995e+01 1.624745812773177533e+01 2.761335846402577943e+01 2.386147897116892291e-01 3.098445662296279712e-01 -9.217684417586902157e-02 8.218461516550634371e+01 6.246432352237762942e-01
3.896796358536641947e+01 1.747746341232368650e+01 2.236587610828386730e+01 4.485085132569506805e-01 -3.241086128673281719e-01 -9.697905514007039152e-01 5.483468454988262408e+01 4.350142541081004621e-01
3.537263700506021280e+01 2.650513218989444653e+01 2.660060519799410983e+01 7.493117402048020681e-01 -2.345964924768713378e-01 2.775857081104193130e-02 5.918988635584366165e+01 6.270431443525169568e-01
7.432115390041923320e+01 1.212080785434510055e+01 2.429078127247525742e+01 1.630869169575249189e-01 2.962669182862091022e-01 -9.416476197217735766e-01 8.496955747008198045e+01 5.465559419478600578e-01
